author,T01,T02,T03,T04,T05,T06,T07,T08,T10,T11,T12,T13,T15,T17,T18,T19
BitmineMarine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyberpaisa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CypherVae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KBryan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco-MetaMask,2,0,0,1,1,0,0,3,1,0,0,1,0,0,2,0
MarcoMetaMask,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
McOso,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metanize,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Moshiii,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Nithin-Varma,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
OoXooOx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Spaded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sparksss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SumeetChougule,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
VickyFu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Walodja1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abcoathup,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
alftom,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
azanux,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bransdotcom,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
comeToThinkOfEth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
daniel-ospina,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
davidecrapis.eth,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
dcbuild3r,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dcrapis,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
deiu,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
denverbaumgartner,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
dievardump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ernestognw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
felixnorden,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
gpt3_eth,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hjs_foundation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jdutreve,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kimomon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kinglouis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
leonprou,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lightclient,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
lisenokdonbassenok,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
matevz-oasis,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
micheda,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mlegls,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
node0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nuhgid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nxt3d,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
orgtrust.eth,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
pcarranzav,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,1
peersky,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rithikha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sarkazein,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sbacha,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
soispoke,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
spengrah,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
sterlingcrispin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tantodefi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ten-io-meta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
theagora,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tim-cotten,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tokmakoff,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
treza-labs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vkpatva,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voidcenter,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
wanderosity,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
weedeej,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
xiaowh7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zonu,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
