theme_id,n_comments,n_actors,gini_actors,hhi
T06,429,151,0.5683323299217338,0.0583
T18,421,175,0.5100237529691212,0.0263
T07,363,127,0.5541745298366629,0.0496
T01,332,78,0.6554680259499537,0.0722
T03,257,103,0.5074987722413207,0.0533
T19,206,99,0.4057075610473668,0.0199
T15,180,82,0.45650406504065044,0.0347
T05,175,84,0.43843537414965983,0.0447
T11,174,73,0.48433317587781444,0.038
T08,169,71,0.4813734477873157,0.0378
T14,167,46,0.6374642020307211,0.1161
T10,159,77,0.428163031936617,0.0308
T04,157,68,0.4802360434619708,0.0409
T09,135,62,0.44074074074074066,0.0398
T02,109,62,0.3464042616158627,0.0284
T17,103,76,0.2239397036280022,0.0184
T13,87,62,0.25973303670745285,0.0329
T16,86,49,0.36592311343141914,0.0427
T12,50,25,0.36640000000000006,0.0744
